Fulham Broadway,51.480603,-0.19493
West Brompton,51.4866,-0.1957
Westbourne Park,51.521034,-0.200695
Parsons Green,51.475279,-0.201151
Brondesbury,51.5451,-0.202
Kilburn,51.546944,-0.204633
Queen's Park,51.5341,-0.2053
Holland Park,51.507048,-0.20607
West Kensington,51.490028,-0.206207
Putney Bridge,51.468044,-0.209135
Brondesbury Park,51.5407,-0.2103
Ladbroke Grove,51.517257,-0.210835
Kensington (Olympia),51.4985,-0.211
Barons Court,51.488541,-0.212216
Shepherd's Bush,51.5051,-0.2175
Latimer Road,51.512419,-0.21793
Willesden Green,51.550965,-0.219517
Kensal Rise,51.5345,-0.2204
Kensal Green,51.5306,-0.2243
White City,51.510024,-0.224301
Goldhawk Road,51.502169,-0.227435
Ravenscourt Park,51.495219,-0.236561
Stamford Brook,51.498838,-0.242761
East Acton,51.516298,-0.248068
Turnham Green,51.495108,-0.255307
North Acton,51.522871,-0.259486
Greenwich,51.4782,-0.0134
Lewisham,51.4658,-0.0141
Clapton,51.5617,-0.0571
North Dulwich,51.4543,-0.0887
Herne Hill,51.4533,-0.1021
East Putney,51.458879,-0.210974
Putney,51.4611,-0.2162
Willesden Junction,51.5324,-0.2439
Woolwich Dockyard,51.4913,0.0536
East Ham,51.538933,0.051256
Upton Park,51.538604,0.033331
Charlton,51.4868,0.031
Kidbrooke,51.4621,0.0273
Wanstead Park,51.5518,0.0264
Forest Gate,51.5494,0.0242
Westcombe Park,51.4842,0.0187
Lee,51.4497,0.0128
Plaistow,51.533855,0.012369
Leytonstone,51.568386,0.009981
Canning Town,51.513606,0.008314
Leytonstone High Road,51.5634,0.0073
West Ham,51.5284,0.0066
Blackheath,51.4663,0.0064
Maryland,51.546,0.0059
Maze Hill,51.483,0.0032
Hither Green,51.4519,-0.0008
Stratford,51.5417,-0.0037
Leyton,51.558132,-0.006465
Leyton Midland Road,51.5693,-0.0072
Stratford International,51.5448,-0.0087
Ladywell,51.4562,-0.0192
Walthamstow Central,51.5831,-0.0192
Bellingham,51.4342,-0.0199
Walthamstow Queens Road,51.5817,-0.024
Catford Bridge,51.4446,-0.025
Catford,51.4447,-0.0261
St James Street,51.581,-0.0323
Crofton Park,51.455,-0.0367
Blackhorse Road,51.5866,-0.0416
Honor Oak Park,51.4501,-0.0456
Forest Hill,51.4393,-0.0533
Sydenham,51.4268,-0.0545
Northumberland Park,51.5986,-0.0551
Tottenham Hale,51.5902,-0.0611
Bruce Grove,51.594,-0.0704
White Hart Lane,51.6049,-0.0711
South Tottenham,51.5802,-0.072
Seven Sisters,51.5839,-0.0756
Stamford Hill,51.5749,-0.0761
Sydenham Hill,51.4326,-0.0802
Gipsy Hill,51.4246,-0.084
West Dulwich,51.4409,-0.0906
Harringay Green Lanes,51.5774,-0.0977
Turnpike Lane,51.590534,-0.103123
West Norwood,51.4318,-0.1035
Tulse Hill,51.4399,-0.1049
Harringay,51.577,-0.1052
Wood Green,51.597429,-0.109821
Hornsey,51.5862,-0.1116
Crouch Hill,51.572,-0.1171
Alexandra Palace,51.5983,-0.1197
Norbury,51.4114,-0.1214
Bounds Green,51.607844,-0.125458
Streatham Hill,51.438,-0.1271
Streatham,51.426,-0.1311
Streatham Common,51.4187,-0.1359
Highgate,51.577108,-0.146002
Balham,51.4426,-0.152
Mitcham Eastfields,51.4077,-0.1547
Tooting Bec,51.436527,-0.159033
Tooting,51.4196,-0.1603
Wandsworth Common,51.4464,-0.1635
East Finchley,51.586818,-0.164016
Tooting Broadway,51.427065,-0.169027
Colliers Wood,51.418474,-0.177865
Earlsfield,51.4424,-0.1877
Haydons Road,51.4255,-0.188
Golders Green,51.572215,-0.194835
Wimbledon Park,51.434541,-0.199566
Wimbledon,51.4232,-0.2043
Southfields,51.445088,-0.206577
Brent Cross,51.576853,-0.211439
Cricklewood,51.5586,-0.2129
Wimbledon Chase,51.4095,-0.2142
South Wimbledon,51.425313,-0.218112
Hendon Central,51.582744,-0.226757
Dollis Hill,51.553715,-0.238021
Barnes,51.4671,-0.242
Neasden,51.554221,-0.249684
Barnes Bridge,51.4722,-0.2523
Harlesden,51.5363,-0.2581
Acton Central,51.5088,-0.2634
Acton Main Line,51.5169,-0.2669
Mortlake,51.4682,-0.2672
Chiswick Park,51.494254,-0.268089
South Acton,51.4994,-0.2707
Gunnersbury,51.4918,-0.275
Stonebridge Park,51.544,-0.2754
Acton Town,51.503041,-0.280559
West Acton,51.51777,-0.280657
Park Royal,51.527245,-0.28466
North Sheen,51.4656,-0.2865
Ealing Common,51.510079,-0.287147
Kew Bridge,51.4895,-0.2878
North Ealing,51.517273,-0.289855
Hanger Lane,51.530046,-0.293032
Ealing Broadway,51.5147,-0.3017
South Ealing,51.501905,-0.306955
Northfields,51.500568,-0.315295
West Ealing,51.5137,-0.3203
Manor Park,51.5526,0.0463
Woodgrange Park,51.5487,0.0454
Crystal Palace,51.4182,-0.0726
Bowes Park,51.6078,-0.1209
Hendon,51.58,-0.2389
Kew Gardens,51.4772,-0.2849
Abbey Wood,51.4915,0.1229
Goodmayes,51.5655,0.1109
Welling,51.4647,0.1017
Upney,51.538406,0.101532
Seven Kings,51.5635,0.0969
Newbury Park,51.575648,0.090275
Plumstead,51.4897,0.0844
Redbridge,51.58861,0.082398
Barking,51.5393,0.0817
Falconwood,51.4592,0.0799
New Eltham,51.438,0.0705
Ilford,51.5586,0.0696
Woolwich Arsenal,51.4898,0.0694
Gants Hill,51.576549,0.066315
Eltham,51.4555,0.0515
Mottingham,51.4401,0.0504
Elmstead Woods,51.4168,0.0441
Woodford,51.606888,0.034005
Wanstead,51.574717,0.028486
South Woodford,51.592578,0.026482
Sundridge Park,51.4137,0.0221
Grove Park,51.4306,0.0219
Snaresbrook,51.581409,0.02093
Bromley North,51.4088,0.0179
Shortlands,51.4058,0.0019
Highams Park,51.6084,-0.0001
Wood Street,51.5864,-0.0021
Ravensbourne,51.4141,-0.0075
Beckenham Hill,51.4246,-0.0161
Beckenham Junction,51.4109,-0.0257
Lower Sydenham,51.4245,-0.0336
New Beckenham,51.4164,-0.0348
Clock House,51.4088,-0.0411
Kent House,51.4123,-0.0453
Angel Road,51.6118,-0.0495
Elmers End,51.3981,-0.0496
Penge East,51.4191,-0.0537
Birkbeck,51.4039,-0.0568
Penge West,51.4174,-0.0606
Edmonton Green,51.6242,-0.0614
Anerley,51.4125,-0.0651
Silver Street,51.6149,-0.0676
Norwood Junction,51.3971,-0.0749
Selhurst,51.3921,-0.0883
Thornton Heath,51.3985,-0.1004
Winchmore Hill,51.6341,-0.1013
Palmers Green,51.6184,-0.1102
Southgate,51.628938,-0.127669
Arnos Grove,51.616062,-0.134208
New Southgate,51.6142,-0.1432
Hackbridge,51.3778,-0.1539
Mitcham Junction,51.393,-0.1576
Oakleigh Park,51.6379,-0.1667
Totteridge & Whetstone,51.6309,-0.18342
Woodside Park,51.617963,-0.18514
West Finchley,51.60937,-0.189189
Finchley Central,51.601283,-0.193714
Morden,51.402194,-0.19478
Sutton Common,51.3751,-0.1964
St Helier,51.3901,-0.1985
Morden South,51.3965,-0.199
South Merton,51.403,-0.2062
Mill Hill East,51.608833,-0.210106
Raynes Park,51.4094,-0.2299
Motspur Park,51.3958,-0.2397
Worcester Park,51.3804,-0.2412
Mill Hill Broadway,51.6128,-0.2491
Colindale,51.595192,-0.249869
New Malden,51.4039,-0.256
Malden Manor,51.3847,-0.2618
Burnt Oak,51.602507,-0.26439
Chiswick,51.4813,-0.2683
Kingsbury,51.584923,-0.278517
Wembley Park,51.563349,-0.279227
Queensbury,51.594475,-0.285674
Wembley Stadium,51.5543,-0.2863
Preston Road,51.572256,-0.294981
Wembley Central,51.5519,-0.2964
Alperton,51.541485,-0.298121
Richmond,51.463,-0.3014
North Wembley,51.5627,-0.304
South Kenton,51.5703,-0.3086
Brentford,51.4875,-0.3096
Sudbury Town,51.551711,-0.315048
